,count,average number of page views
0,1,2635.352507891968
1,2,1699.0
2,3,2774.47900466563
3,4,2287.6455696202534
4,5,2901.506393861893
5,6,1977.8529411764705
6,7,2535.122549019608
7,8,2217.1935483870966
8,9,2817.7596153846152
9,10,2826.684210526316
10,11,2968.866666666667
11,12,2110.9166666666665
12,13,2934.4561403508774
13,14,2542.4166666666665
14,15,2599.153846153846
15,16,2644.2
16,17,2641.5116279069766
17,18,3001.0
18,19,2220.9
19,20,2553.5
20,21,2724.923076923077
21,22,2198.285714285714
22,23,2498.2105263157896
23,24,2592.8571428571427
24,25,2068.0714285714284
25,26,2518.0
26,27,1954.6666666666667
27,28,2030.3333333333333
28,29,2892.8888888888887
29,31,2828.222222222222
30,32,2803.3333333333335
31,33,2491.75
32,34,2472.0
33,35,3061.125
34,37,3955.5
35,38,3852.0
36,39,2879.3333333333335
37,40,337.0
38,41,2679.25
39,42,3503.3333333333335
40,43,1268.6666666666667
41,45,2171.0
42,46,2441.0
43,47,1742.0
44,49,2335.5
45,50,2463.0
46,51,3626.0
47,53,3641.0
48,54,2424.0
49,55,2027.0
50,57,1676.0
51,59,1734.5
52,60,1782.0
53,61,3036.0
54,62,845.0
55,63,3756.0
56,65,1380.0
57,66,4124.0
58,67,824.0
59,71,3016.0
60,72,1422.0
61,77,2386.0
62,78,2281.0
63,79,4389.0
64,81,2373.0
65,84,4592.0
66,85,868.0
67,89,1291.0
68,96,2020.5
69,98,2667.0
70,116,3821.0
71,126,1300.0
72,131,4158.0
73,139,2951.0
74,167,3912.0
75,177,5311.0
76,194,3521.0
77,196,3504.0
78,200,3623.0
79,203,3436.0
80,250,2300.0
81,270,2902.0
82,302,3539.0
83,332,3157.0
84,566,3479.0
